X,Y,POTEAU_ID_POT,PANNEAU_ID_PAN,PANNEAU_ID_RPA,DESCRIPTION_RPA,CODE_RPA,FLECHE_PAN,TOPONYME_PAN,POTEAU_VERSION_POT,DATE_CONCEPTION_POT,PAS_SUR_RUE,DESCRIPTION_REP,DESCRIPTION_RTP,X_EPSG32188,Y_EPSG32188,Longitude,Latitude,DESCRIPTION_CAT,NOM_ARR
-73.57866684,45.4935826,91456,1188039,13975,\P 09h30-10h30 MAR. VEN. 1 AVRIL AU 1 DEC.,SB-VD-A,0,,9,2.0161E+13,,En conception,3- Fût,298651.469,5039298.5,-73.57866684,45.4935826,STATIONNEMENT,Ville-Marie
-73.57866684,45.4935826,91456,1188040,1590,\P RESERVE S3R 09-23h       (2 SECTEURS),R-PF-2S,3,,9,2.0161E+13,,En conception,3- Fût,298651.469,5039298.5,-73.57866684,45.4935826,STATIONNEMENT,Ville-Marie
-73.57886169,45.49368145,151790,1188038,2440,\P LIVRAISON SEULEMENT 08h-17h LUN. AU VEN.,SL-JC,2,,6,2.0161E+13,,En conception,2- Tige et manchon,298636.25,5039309.5,-73.57886169,45.49368145,STATIONNEMENT,Ville-Marie
-73.57855485,45.49182798,55973,1188033,11,\A EN TOUT TEMPS,AD-TT,2,,8,2.0161E+13,,En conception,2- Tige et manchon,298660.031,5039103.5,-73.57855485,45.49182798,STATIONNEMENT,Ville-Marie
-73.57855485,45.49182798,55973,1188034,13826,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0,,8,2.0161E+13,,En conception,2- Tige et manchon,298660.031,5039103.5,-73.57855485,45.49182798,STATIONNEMENT,Ville-Marie
-73.58106564,45.49152477,56029,1188025,13826,\P 09h30-10h30 LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JD-A,0,,8,2.0161E+13,,En conception,2- Tige et manchon,298463.75,5039070,-73.58106564,45.49152477,STATIONNEMENT,Ville-Marie
-73.58106564,45.49152477,56029,1188026,2413,\P EN TOUT TEMPS,SD-TT,2,,8,2.0161E+13,,En conception,2- Tige et manchon,298463.75,5039070,-73.58106564,45.49152477,STATIONNEMENT,Ville-Marie
-73.58219808,45.50236709,105732,1185411,13830,\P 12h-13h LUN. JEU. 1 AVRIL AU 1 DEC.,SB-JJ-A,0,,5,2.0161E+13,,Réel,1- Tige et base,298376.469,5040275,-73.58219808,45.50236709,STATIONNEMENT,Ville-Marie
-73.55844758,45.5194116,239913,1187258,2413,\P EN TOUT TEMPS,SD-TT,2,,1,2.0161E+13,,En conception,2- Tige et manchon,300233.877,5042167.543,-73.55844758,45.5194116,STATIONNEMENT,Ville-Marie
-73.55844758,45.5194116,239913,1187259,1589,\P RESERVE S3R 09h-23h,R-PF,3,,1,2.0161E+13,,En conception,2- Tige et manchon,300233.877,5042167.543,-73.55844758,45.5194116,STATIONNEMENT,Ville-Marie
